date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2022-08-04,sh.600000,7.0900,7.1000,7.0600,7.0900,7.0700,21294463,150760431.0000,3,0.072500,1,0.282900,0
2022-08-05,sh.600000,7.0900,7.1800,7.0800,7.1500,7.0900,22554203,160555049.0000,3,0.076800,1,0.846300,0
2022-08-08,sh.600000,7.1700,7.1800,7.1200,7.1200,7.1500,12981219,92667054.0000,3,0.044200,1,-0.419600,0
2022-08-09,sh.600000,7.1300,7.1500,7.1000,7.1200,7.1200,13023820,92757272.0000,3,0.044400,1,0.000000,0
2022-08-10,sh.600000,7.1200,7.1300,7.0800,7.0900,7.1200,11674742,82872444.0000,3,0.039800,1,-0.421300,0
2022-08-11,sh.600000,7.1200,7.1900,7.1000,7.1800,7.0900,21910821,156858352.0000,3,0.074600,1,1.269400,0
2022-08-12,sh.600000,7.1900,7.2600,7.1700,7.2400,7.1800,22253354,160666706.0000,3,0.075800,1,0.835700,0
2022-08-15,sh.600000,7.2400,7.2900,7.2000,7.2100,7.2400,20451392,148015692.8300,3,0.069700,1,-0.414400,0
2022-08-16,sh.600000,7.2100,7.2600,7.1800,7.1900,7.2100,17910142,129120992.6100,3,0.061000,1,-0.277400,0
2022-08-17,sh.600000,7.2100,7.3000,7.1800,7.2800,7.1900,20980840,152061978.5400,3,0.071500,1,1.251700,0
2022-08-18,sh.600000,7.2700,7.2700,7.1900,7.2100,7.2800,12991819,93820911.1800,3,0.044300,1,-0.961500,0
2022-08-19,sh.600000,7.1800,7.2800,7.1800,7.2000,7.2100,17544569,126989201.8600,3,0.059800,1,-0.138700,0
2022-08-22,sh.600000,7.1800,7.2400,7.1600,7.2300,7.2000,13776616,99353492.4400,3,0.046900,1,0.416700,0
2022-08-23,sh.600000,7.2100,7.2200,7.1700,7.1700,7.2300,15047471,108111339.9300,3,0.051300,1,-0.829900,0
2022-08-24,sh.600000,7.1700,7.2200,7.1400,7.1500,7.1700,16855765,120996052.8000,3,0.057400,1,-0.278900,0
2022-08-25,sh.600000,7.1600,7.2200,7.1500,7.2000,7.1500,15772556,113287116.5200,3,0.053700,1,0.699300,0
2022-08-26,sh.600000,7.2300,7.2600,7.1800,7.2200,7.2000,17576235,126876440.7100,3,0.059900,1,0.277800,0
2022-08-29,sh.600000,7.1600,7.2100,7.1200,7.1500,7.2200,27600324,197253687.4600,3,0.094000,1,-0.969500,0
2022-08-30,sh.600000,7.1400,7.2000,7.1300,7.1900,7.1500,22541928,161534932.8000,3,0.076800,1,0.559400,0
2022-08-31,sh.600000,7.1700,7.2800,7.1500,7.2700,7.1900,39566130,286509308.7500,3,0.134800,1,1.112700,0
2022-09-01,sh.600000,7.2300,7.2900,7.2000,7.2300,7.2700,23298388,169134999.2700,3,0.079400,1,-0.550200,0
2022-09-02,sh.600000,7.2400,7.2700,7.2000,7.2100,7.2300,19975499,144236248.5300,3,0.068100,1,-0.276600,0
2022-09-05,sh.600000,7.1800,7.2700,7.1400,7.2600,7.2100,26646247,192171036.5800,3,0.090800,1,0.693500,0
2022-09-06,sh.600000,7.2500,7.3000,7.2400,7.2600,7.2600,21866681,159009208.0900,3,0.074500,1,0.000000,0
2022-09-07,sh.600000,7.2300,7.2600,7.2200,7.2200,7.2600,16568470,119766057.0600,3,0.056400,1,-0.551000,0
2022-09-08,sh.600000,7.2400,7.2700,7.2200,7.2400,7.2200,14478347,104930852.8500,3,0.049300,1,0.277000,0
